province,year,project_n,disclosure_completeness_proxy_mean,disclosure_fields_nonmissing_mean,项目概况_nonmissing_rate,项目概况_avg_len,合作范围_nonmissing_rate,合作范围_avg_len,批复意见_nonmissing_rate,批复意见_avg_len,is_exec_mean,is_proc_mean,is_prep_mean,fiscal_pass_mean,vfm_pass_mean,mechanism_proxy_status,source_file
四川省,2021,10,1.0,3.0,1.0,199.4,1.0,132.9,1.0,29.2,0.3,0.7,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
四川省,2022,3,1.0,3.0,1.0,277.6666666666667,1.0,163.0,1.0,6.333333333333333,0.0,1.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2015,4,1.0,3.0,1.0,273.5,1.0,125.75,1.0,10.25,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2016,3,1.0,3.0,1.0,357.6666666666667,1.0,215.0,1.0,159.0,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2017,25,1.0,3.0,1.0,282.0,1.0,194.6,1.0,60.92,0.96,0.04,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2018,8,1.0,3.0,1.0,357.25,1.0,157.0,1.0,63.375,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2019,14,1.0,3.0,1.0,283.92857142857144,1.0,158.64285714285714,1.0,62.5,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2020,15,1.0,3.0,1.0,259.8666666666667,1.0,222.0,1.0,68.2,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
天津市,2021,1,1.0,3.0,1.0,108.0,1.0,287.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
宁夏回族自治区,2013,1,0.6666666666666666,2.0,1.0,312.0,1.0,222.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,candidate_project_level_proxy_not_registry_derived,C:\Users\陈楚玲\Desktop\ppp论文数据\codex项目\ppp论文数据\02_第9部分_最终可用内容\（补充）项目级建模底表\PPP_project_level_risk_model_data_v3_无泄漏严格版_标签统一_20260413_0912.csv
