province,year,city_n,treat_share,treated_city_count_implied,post,did_intensity,did_any,baseline_sample_5_3,baseline_controls_complete
福建,2016,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
福建,2017,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
福建,2018,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
福建,2019,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
福建,2020,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
福建,2021,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
福建,2022,9.0,0.4444444444444444,4.0,1,0.4444444444444444,1,1,1
西藏,2015,7.0,0.1428571428571428,1.0,0,0.0,0,1,1
西藏,2017,7.0,0.1428571428571428,1.0,1,0.1428571428571428,1,1,1
西藏,2018,7.0,0.1428571428571428,1.0,1,0.1428571428571428,1,1,1
贵州,2014,9.0,0.1111111111111111,1.0,0,0.0,0,1,1
贵州,2015,9.0,0.1111111111111111,1.0,0,0.0,0,1,1
贵州,2016,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
贵州,2017,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
贵州,2018,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
贵州,2019,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
贵州,2020,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
贵州,2021,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
贵州,2022,9.0,0.1111111111111111,1.0,1,0.1111111111111111,1,1,1
辽宁,2014,14.0,0.2857142857142857,4.0,0,0.0,0,1,1
辽宁,2015,14.0,0.2857142857142857,4.0,0,0.0,0,1,1
辽宁,2016,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
辽宁,2017,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
辽宁,2018,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
辽宁,2019,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
辽宁,2020,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
辽宁,2021,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
辽宁,2022,14.0,0.2857142857142857,4.0,1,0.2857142857142857,1,1,1
重庆,2014,1.0,1.0,1.0,0,0.0,0,1,1
重庆,2015,1.0,1.0,1.0,0,0.0,0,1,1
重庆,2016,1.0,1.0,1.0,1,1.0,1,1,1
重庆,2017,1.0,1.0,1.0,1,1.0,1,1,1
重庆,2018,1.0,1.0,1.0,1,1.0,1,1,1
重庆,2019,1.0,1.0,1.0,1,1.0,1,1,1
重庆,2020,1.0,1.0,1.0,1,1.0,1,1,1
重庆,2021,1.0,1.0,1.0,1,1.0,1,1,1
重庆,2022,1.0,1.0,1.0,1,1.0,1,1,1
陕西,2014,10.0,0.2,2.0,0,0.0,0,1,1
陕西,2015,10.0,0.2,2.0,0,0.0,0,1,1
陕西,2016,10.0,0.2,2.0,1,0.2,1,1,1
陕西,2017,10.0,0.2,2.0,1,0.2,1,1,1
陕西,2018,10.0,0.2,2.0,1,0.2,1,1,1
陕西,2019,10.0,0.2,2.0,1,0.2,1,1,1
陕西,2020,10.0,0.2,2.0,1,0.2,1,1,1
陕西,2021,10.0,0.2,2.0,1,0.2,1,1,1
陕西,2022,10.0,0.2,2.0,1,0.2,1,1,1
青海,2014,8.0,0.0,0.0,0,0.0,0,1,1
青海,2015,8.0,0.0,0.0,0,0.0,0,1,1
青海,2016,8.0,0.0,0.0,1,0.0,0,1,1
青海,2017,8.0,0.0,0.0,1,0.0,0,1,1
青海,2018,8.0,0.0,0.0,1,0.0,0,1,1
青海,2019,8.0,0.0,0.0,1,0.0,0,1,1
青海,2020,8.0,0.0,0.0,1,0.0,0,1,1
黑龙江,2014,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
黑龙江,2015,13.0,0.2307692307692307,3.0,0,0.0,0,1,1
黑龙江,2016,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
黑龙江,2017,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
黑龙江,2018,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
黑龙江,2019,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
黑龙江,2020,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
黑龙江,2021,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
黑龙江,2022,13.0,0.2307692307692307,3.0,1,0.2307692307692307,1,1,1
